index,node_id,type
293,cs_10201,Paper
294,cs_10202,Paper
295,cs_10203,Paper
296,cs_10204,Paper
297,cs_10205,Paper
298,cs_10206,Paper
299,cs_10207,Paper
300,cs_10208,Paper
301,cs_10209,Paper
302,cs_1021,Paper
303,cs_10210,Paper
304,cs_10211,Paper
305,cs_10212,Paper
306,cs_10213,Paper
307,cs_10214,Paper
308,cs_10215,Paper
309,cs_10216,Paper
310,cs_10217,Paper
311,cs_10218,Paper
312,cs_10219,Paper
313,cs_1022,Paper
314,cs_10220,Paper
315,cs_10221,Paper
316,cs_10222,Paper
317,cs_10223,Paper
318,cs_10224,Paper
319,cs_10225,Paper
320,cs_10226,Paper
321,cs_10227,Paper
322,cs_10228,Paper
323,cs_10229,Paper
324,cs_1023,Paper
325,cs_10230,Paper
326,cs_10231,Paper
327,cs_10232,Paper
328,cs_10233,Paper
329,cs_10234,Paper
330,cs_10235,Paper
331,cs_10236,Paper
332,cs_10237,Paper
333,cs_10238,Paper
334,cs_10239,Paper
335,cs_1024,Paper
336,cs_10240,Paper
337,cs_10241,Paper
338,cs_10242,Paper
339,cs_10243,Paper
340,cs_10244,Paper
341,cs_10245,Paper
342,cs_10246,Paper
343,cs_10247,Paper
344,cs_10248,Paper
345,cs_10249,Paper
346,cs_1025,Paper
347,cs_10250,Paper
348,cs_10251,Paper
349,cs_10252,Paper
350,cs_10253,Paper
351,cs_10254,Paper
352,cs_10255,Paper
353,cs_10256,Paper
354,cs_10257,Paper
355,cs_10258,Paper
356,cs_10259,Paper
357,cs_1026,Paper
358,cs_10260,Paper
359,cs_10261,Paper
360,cs_10262,Paper
361,cs_10263,Paper
362,cs_10264,Paper
363,cs_10265,Paper
364,cs_10266,Paper
365,cs_10267,Paper
366,cs_10268,Paper
367,cs_10269,Paper
368,cs_1027,Paper
369,cs_10270,Paper
370,cs_10271,Paper
371,cs_10272,Paper
372,cs_10273,Paper
373,cs_10274,Paper
374,cs_10275,Paper
375,cs_10276,Paper
376,cs_10277,Paper
377,cs_10278,Paper
378,cs_10279,Paper
379,cs_1028,Paper
380,cs_10280,Paper
381,cs_10281,Paper
382,cs_10282,Paper
383,cs_10283,Paper
384,cs_10284,Paper
385,cs_10285,Paper
386,cs_10286,Paper
387,cs_10287,Paper
388,cs_10288,Paper
389,cs_10289,Paper
390,cs_1029,Paper
391,cs_10290,Paper
392,cs_10291,Paper
393,cs_10292,Paper
394,cs_10293,Paper
395,cs_10294,Paper
396,cs_10295,Paper
397,cs_10296,Paper
398,cs_10297,Paper
